珠江酒店1,#genre#
CCTV-1-高清KJ,http://219.159.194.22:8686/tsfile/live/faacts/1107_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2KJ,http://219.159.194.22:8686/tsfile/live/1098_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3高清KJ,http://219.159.194.22:8686/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4KJ,http://219.159.194.22:8686/tsfile/live/1099_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育 高清,http://219.159.194.22:8686/tsfile/live/0005_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6高清KJ,http://219.159.194.22:8686/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8高清KJ,http://219.159.194.22:8686/tsfile/live/1074_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10KJ,http://219.159.194.22:8686/tsfile/live/1101_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11W,http://219.159.194.22:8686/tsfile/live/1089_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12W,http://219.159.194.22:8686/tsfile/live/1090_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13W,http://219.159.194.22:8686/tsfile/live/1091_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14W,http://219.159.194.22:8686/tsfile/live/1092_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-音乐KJ,http://219.159.194.22:8686/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+KJ,http://219.159.194.22:8686/tsfile/live/faacts/1100_1.m3u8?key=txiptv&playlive=1&authid=0
广西合浦w,http://219.159.194.22:8686/tsfile/live/1058_1.m3u8?key=txiptv&playlive=1&authid=0
北海经济科教w,http://219.159.194.22:8686/tsfile/live/1059_1.m3u8?key=txiptv&playlive=1&authid=0
北海新闻综合w,http://219.159.194.22:8686/tsfile/live/1061_1.m3u8?key=txiptv&playlive=1&authid=0
广西综艺高清,http://219.159.194.22:8686/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
广西都市高清,http://219.159.194.22:8686/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
广西新闻高清,http://219.159.194.22:8686/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
广西影视高清,http://219.159.194.22:8686/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
珠江台高清,http://219.159.194.22:8686/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
广东科教高清,http://219.159.194.22:8686/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
南方卫视高清,http://219.159.194.22:8686/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
广东综艺 4K,http://219.159.194.22:8686/tsfile/live/faacts/1010_1.m3u8?key=txiptv&playlive=1&authid=0
广东影视高清,http://219.159.194.22:8686/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
岭南戏曲高清,http://219.159.194.22:8686/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
广东嘉佳卡通,http://219.159.194.22:8686/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻高清,http://219.159.194.22:8686/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
广东公共高清,http://219.159.194.22:8686/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
广东少儿高清,http://219.159.194.22:8686/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育高清,http://219.159.194.22:8686/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
深圳都市-高清,http://219.159.194.22:8686/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
深圳电视剧-高清,http://219.159.194.22:8686/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
深圳娱乐-高清,http://219.159.194.22:8686/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
深圳体育-高清,http://219.159.194.22:8686/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
广州综合高清,http://219.159.194.22:8686/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
